age,memory_score,attention_score,recall_score,reaction_score,reaction_time_ms,previous_accuracy,weak_area,recommended_activity,recommended_difficulty
88,69.0,35.0,67.0,62.0,722.0,78.0,attention,Attention Challenge,Easy
87,79.0,36.0,95.0,76.0,552.0,54.0,attention,Attention Challenge,Easy
77,81.0,73.0,73.0,66.0,669.0,83.0,reaction,Reaction Test,Medium
78,77.0,85.0,74.0,78.0,523.0,95.0,recall,Number Recall,Medium
89,72.0,80.0,45.0,81.0,491.0,85.0,recall,Word Recall,Easy
76,77.0,56.0,71.0,88.0,404.0,76.0,attention,Attention Challenge,Easy
81,84.0,91.0,88.0,69.0,637.0,67.0,reaction,Reaction Test,Medium
89,85.0,50.0,80.0,68.0,650.0,60.0,attention,Attention Challenge,Easy
55,97.0,88.0,42.0,81.0,482.0,62.0,recall,Word Recall,Easy
89,63.0,52.0,66.0,73.0,582.0,77.0,attention,Attention Challenge,Easy
68,70.0,63.0,96.0,51.0,868.0,99.0,reaction,Reaction Test,Easy
57,56.0,78.0,70.0,65.0,688.0,51.0,memory,Memory Match,Easy
55,86.0,46.0,77.0,85.0,442.0,85.0,attention,Attention Challenge,Easy
59,71.0,90.0,95.0,66.0,670.0,71.0,reaction,Reaction Test,Medium
80,77.0,63.0,70.0,85.0,442.0,75.0,attention,Attention Challenge,Easy
68,68.0,70.0,83.0,100.0,250.0,69.0,memory,Memory Match,Medium
81,71.0,85.0,78.0,76.0,548.0,64.0,memory,Memory Match,Medium
63,90.0,56.0,81.0,61.0,738.0,79.0,attention,Attention Challenge,Easy
69,83.0,84.0,77.0,63.0,718.0,81.0,reaction,Reaction Test,Easy
69,74.0,93.0,64.0,72.0,595.0,85.0,recall,Number Recall,Easy
80,84.0,58.0,66.0,81.0,485.0,61.0,attention,Attention Challenge,Easy
67,84.0,89.0,60.0,71.0,608.0,87.0,recall,Number Recall,Easy
86,70.0,42.0,49.0,79.0,518.0,87.0,attention,Attention Challenge,Easy
86,57.0,74.0,89.0,81.0,488.0,82.0,memory,Memory Match,Easy
58,64.0,50.0,72.0,66.0,677.0,74.0,attention,Attention Challenge,Easy
84,59.0,82.0,89.0,81.0,487.0,81.0,memory,Memory Match,Easy
77,89.0,81.0,94.0,65.0,685.0,76.0,reaction,Reaction Test,Medium
69,91.0,99.0,73.0,82.0,479.0,88.0,recall,Number Recall,Medium
83,94.0,89.0,54.0,56.0,797.0,74.0,recall,Word Recall,Easy
90,51.0,66.0,69.0,92.0,353.0,79.0,memory,Memory Match,Easy
67,88.0,52.0,63.0,85.0,435.0,61.0,attention,Attention Challenge,Easy
86,100.0,76.0,44.0,78.0,531.0,81.0,recall,Number Recall,Easy
61,88.0,67.0,65.0,95.0,312.0,71.0,recall,Word Recall,Medium
76,49.0,91.0,71.0,100.0,250.0,83.0,memory,Memory Match,Easy
82,96.0,36.0,63.0,95.0,313.0,86.0,attention,Attention Challenge,Easy
56,76.0,100.0,61.0,79.0,515.0,72.0,recall,Number Recall,Easy
60,72.0,76.0,54.0,79.0,518.0,78.0,recall,Word Recall,Easy
82,80.0,56.0,75.0,73.0,590.0,80.0,attention,Attention Challenge,Easy
82,62.0,79.0,98.0,78.0,526.0,82.0,memory,Memory Match,Easy
74,75.0,87.0,90.0,73.0,586.0,86.0,reaction,Reaction Test,Medium
84,94.0,70.0,81.0,80.0,496.0,85.0,attention,Attention Challenge,Medium
65,82.0,42.0,81.0,69.0,636.0,74.0,attention,Attention Challenge,Easy
82,76.0,64.0,70.0,70.0,621.0,94.0,attention,Attention Challenge,Easy
79,76.0,84.0,47.0,79.0,511.0,86.0,recall,Number Recall,Easy
87,61.0,75.0,67.0,71.0,614.0,92.0,memory,Memory Match,Easy
55,73.0,66.0,58.0,78.0,527.0,81.0,recall,Number Recall,Easy
81,55.0,88.0,74.0,91.0,367.0,82.0,memory,Memory Match,Easy
67,87.0,79.0,89.0,67.0,659.0,77.0,reaction,Reaction Test,Medium
57,49.0,80.0,100.0,85.0,441.0,74.0,memory,Memory Match,Easy
60,85.0,62.0,73.0,67.0,657.0,88.0,attention,Attention Challenge,Easy
62,87.0,60.0,49.0,73.0,589.0,81.0,recall,Word Recall,Easy
81,91.0,43.0,73.0,77.0,540.0,77.0,attention,Attention Challenge,Easy
63,76.0,64.0,73.0,94.0,325.0,68.0,attention,Attention Challenge,Easy
87,86.0,82.0,82.0,61.0,735.0,94.0,reaction,Reaction Test,Easy
78,73.0,65.0,72.0,80.0,506.0,79.0,attention,Attention Challenge,Medium
69,61.0,75.0,73.0,70.0,626.0,66.0,memory,Memory Match,Easy
86,93.0,85.0,63.0,77.0,536.0,79.0,recall,Word Recall,Easy
86,74.0,74.0,68.0,79.0,517.0,76.0,recall,Number Recall,Medium
78,58.0,75.0,79.0,74.0,573.0,76.0,memory,Memory Match,Easy
66,69.0,48.0,44.0,76.0,553.0,84.0,recall,Number Recall,Easy
56,70.0,63.0,68.0,79.0,518.0,76.0,attention,Attention Challenge,Easy
57,81.0,94.0,82.0,77.0,543.0,75.0,reaction,Reaction Test,Medium
71,100.0,70.0,95.0,72.0,601.0,92.0,attention,Attention Challenge,Medium
56,81.0,96.0,66.0,71.0,610.0,61.0,recall,Number Recall,Medium
56,77.0,57.0,89.0,76.0,555.0,77.0,attention,Attention Challenge,Easy
82,100.0,72.0,96.0,70.0,625.0,87.0,reaction,Reaction Test,Medium
77,87.0,62.0,67.0,80.0,499.0,84.0,attention,Attention Challenge,Easy
86,78.0,77.0,64.0,55.0,817.0,88.0,reaction,Reaction Test,Easy
87,69.0,81.0,69.0,62.0,728.0,98.0,reaction,Reaction Test,Easy
55,79.0,77.0,71.0,69.0,641.0,95.0,reaction,Reaction Test,Medium
73,74.0,84.0,87.0,95.0,317.0,66.0,memory,Memory Match,Medium
56,76.0,68.0,61.0,70.0,623.0,62.0,recall,Number Recall,Easy
80,91.0,65.0,94.0,79.0,510.0,81.0,attention,Attention Challenge,Medium
86,69.0,42.0,61.0,85.0,433.0,64.0,attention,Attention Challenge,Easy
60,81.0,78.0,54.0,79.0,507.0,59.0,recall,Word Recall,Easy
86,86.0,71.0,79.0,84.0,446.0,81.0,attention,Attention Challenge,Medium
58,67.0,67.0,89.0,71.0,611.0,84.0,memory,Memory Match,Medium
65,65.0,65.0,75.0,60.0,744.0,95.0,reaction,Reaction Test,Easy
71,73.0,67.0,78.0,68.0,649.0,86.0,attention,Attention Challenge,Medium
78,69.0,64.0,99.0,49.0,882.0,97.0,reaction,Reaction Test,Easy
59,89.0,60.0,89.0,91.0,364.0,82.0,attention,Attention Challenge,Easy
88,63.0,72.0,72.0,81.0,489.0,67.0,memory,Memory Match,Easy
60,76.0,75.0,66.0,85.0,437.0,86.0,recall,Word Recall,Medium
76,100.0,56.0,87.0,64.0,698.0,91.0,attention,Attention Challenge,Easy
65,80.0,62.0,84.0,78.0,524.0,82.0,attention,Attention Challenge,Easy
70,82.0,65.0,78.0,74.0,573.0,93.0,attention,Attention Challenge,Medium
87,89.0,68.0,67.0,70.0,626.0,77.0,recall,Word Recall,Medium
63,69.0,66.0,71.0,90.0,375.0,83.0,attention,Attention Challenge,Medium
60,62.0,78.0,70.0,82.0,475.0,76.0,memory,Memory Match,Easy
70,77.0,43.0,68.0,66.0,670.0,100.0,attention,Attention Challenge,Easy
83,78.0,46.0,64.0,81.0,484.0,86.0,attention,Attention Challenge,Easy
57,56.0,71.0,76.0,92.0,344.0,67.0,memory,Memory Match,Easy
74,80.0,59.0,63.0,85.0,442.0,97.0,attention,Attention Challenge,Easy
90,88.0,81.0,74.0,79.0,516.0,71.0,recall,Number Recall,Medium
73,64.0,86.0,43.0,74.0,570.0,78.0,recall,Word Recall,Easy
80,80.0,72.0,64.0,77.0,542.0,83.0,recall,Number Recall,Easy
57,86.0,52.0,87.0,82.0,476.0,83.0,attention,Attention Challenge,Easy
73,82.0,84.0,59.0,67.0,663.0,83.0,recall,Number Recall,Easy
74,83.0,71.0,80.0,77.0,535.0,67.0,attention,Attention Challenge,Medium
86,72.0,46.0,61.0,74.0,575.0,83.0,attention,Attention Challenge,Easy
61,61.0,47.0,83.0,81.0,483.0,89.0,attention,Attention Challenge,Easy
87,70.0,91.0,68.0,62.0,731.0,89.0,reaction,Reaction Test,Easy
72,68.0,88.0,67.0,80.0,503.0,65.0,recall,Word Recall,Medium
55,74.0,30.0,73.0,75.0,559.0,71.0,attention,Attention Challenge,Easy
65,88.0,48.0,53.0,66.0,674.0,68.0,attention,Attention Challenge,Easy
82,59.0,85.0,86.0,73.0,584.0,81.0,memory,Memory Match,Easy
79,77.0,68.0,90.0,74.0,581.0,62.0,attention,Attention Challenge,Medium
77,62.0,79.0,67.0,95.0,313.0,67.0,memory,Memory Match,Easy
85,66.0,67.0,79.0,69.0,632.0,71.0,memory,Memory Match,Medium
84,82.0,78.0,83.0,75.0,557.0,60.0,reaction,Reaction Test,Medium
89,61.0,68.0,71.0,71.0,615.0,78.0,memory,Memory Match,Easy
61,84.0,61.0,56.0,74.0,572.0,57.0,recall,Number Recall,Easy
70,59.0,84.0,94.0,81.0,483.0,83.0,memory,Memory Match,Easy
80,83.0,71.0,67.0,67.0,657.0,74.0,recall,Number Recall,Medium
56,56.0,78.0,63.0,74.0,574.0,72.0,memory,Memory Match,Easy
55,68.0,70.0,95.0,88.0,395.0,73.0,memory,Memory Match,Medium
66,98.0,61.0,81.0,63.0,707.0,77.0,attention,Attention Challenge,Easy
59,96.0,92.0,76.0,90.0,378.0,84.0,recall,Number Recall,Medium
86,70.0,73.0,58.0,67.0,658.0,91.0,recall,Word Recall,Easy
63,80.0,63.0,83.0,62.0,728.0,88.0,reaction,Reaction Test,Easy
89,89.0,87.0,100.0,87.0,417.0,100.0,attention,Attention Challenge,Hard
73,83.0,48.0,84.0,77.0,535.0,85.0,attention,Attention Challenge,Easy
70,72.0,100.0,79.0,78.0,524.0,79.0,memory,Memory Match,Medium
57,66.0,65.0,82.0,78.0,529.0,73.0,attention,Attention Challenge,Medium
74,85.0,49.0,67.0,58.0,770.0,74.0,attention,Attention Challenge,Easy
78,89.0,97.0,67.0,86.0,419.0,83.0,recall,Number Recall,Medium
87,96.0,61.0,67.0,79.0,513.0,68.0,attention,Attention Challenge,Easy
78,55.0,72.0,64.0,62.0,730.0,80.0,memory,Memory Match,Easy
65,60.0,79.0,67.0,79.0,511.0,78.0,memory,Memory Match,Easy
62,89.0,86.0,67.0,85.0,438.0,71.0,recall,Number Recall,Medium
90,56.0,72.0,69.0,73.0,582.0,67.0,memory,Memory Match,Easy
74,90.0,58.0,68.0,68.0,647.0,100.0,attention,Attention Challenge,Easy
89,72.0,71.0,75.0,80.0,503.0,64.0,attention,Attention Challenge,Medium
79,69.0,62.0,73.0,71.0,617.0,77.0,attention,Attention Challenge,Easy
89,77.0,72.0,74.0,89.0,385.0,90.0,attention,Attention Challenge,Medium
79,59.0,92.0,93.0,89.0,391.0,83.0,memory,Memory Match,Easy
83,85.0,79.0,73.0,80.0,497.0,73.0,recall,Word Recall,Medium
72,95.0,71.0,100.0,70.0,621.0,66.0,reaction,Reaction Test,Medium
72,85.0,79.0,77.0,69.0,641.0,79.0,reaction,Reaction Test,Medium
56,72.0,80.0,66.0,87.0,408.0,52.0,recall,Number Recall,Medium
89,57.0,52.0,91.0,69.0,637.0,80.0,attention,Attention Challenge,Easy
70,57.0,69.0,71.0,74.0,570.0,78.0,memory,Memory Match,Easy
90,59.0,100.0,38.0,84.0,444.0,89.0,recall,Word Recall,Easy
87,75.0,86.0,72.0,89.0,390.0,67.0,recall,Number Recall,Medium
58,76.0,60.0,69.0,74.0,578.0,75.0,attention,Attention Challenge,Easy
87,85.0,59.0,94.0,64.0,705.0,82.0,attention,Attention Challenge,Easy
68,53.0,58.0,59.0,76.0,554.0,80.0,memory,Memory Match,Easy
75,91.0,81.0,67.0,85.0,438.0,65.0,recall,Number Recall,Medium
74,83.0,92.0,90.0,94.0,326.0,72.0,memory,Memory Match,Hard
62,71.0,77.0,78.0,61.0,734.0,92.0,reaction,Reaction Test,Easy
61,61.0,70.0,70.0,66.0,675.0,81.0,memory,Memory Match,Easy
57,90.0,61.0,61.0,73.0,586.0,61.0,attention,Attention Challenge,Easy
71,71.0,73.0,77.0,62.0,727.0,87.0,reaction,Reaction Test,Easy
87,75.0,56.0,72.0,74.0,577.0,62.0,attention,Attention Challenge,Easy
66,80.0,39.0,61.0,81.0,486.0,75.0,attention,Attention Challenge,Easy
76,64.0,93.0,62.0,71.0,617.0,84.0,recall,Number Recall,Easy
76,72.0,53.0,61.0,84.0,450.0,90.0,attention,Attention Challenge,Easy
84,85.0,63.0,58.0,86.0,431.0,55.0,recall,Number Recall,Easy
62,84.0,78.0,85.0,69.0,643.0,85.0,reaction,Reaction Test,Medium
81,84.0,90.0,83.0,68.0,653.0,87.0,reaction,Reaction Test,Medium
81,61.0,72.0,85.0,88.0,397.0,72.0,memory,Memory Match,Easy
88,72.0,50.0,72.0,88.0,402.0,79.0,attention,Attention Challenge,Easy
75,70.0,63.0,69.0,80.0,497.0,47.0,attention,Attention Challenge,Easy
84,80.0,58.0,69.0,83.0,465.0,51.0,attention,Attention Challenge,Easy
87,79.0,67.0,86.0,71.0,607.0,89.0,attention,Attention Challenge,Medium
82,77.0,86.0,47.0,76.0,556.0,73.0,recall,Number Recall,Easy
87,100.0,30.0,65.0,65.0,690.0,75.0,attention,Attention Challenge,Easy
59,72.0,62.0,60.0,73.0,588.0,80.0,recall,Number Recall,Easy
73,70.0,61.0,91.0,82.0,473.0,74.0,attention,Attention Challenge,Easy
58,61.0,49.0,65.0,94.0,323.0,73.0,attention,Attention Challenge,Easy
89,57.0,77.0,49.0,74.0,572.0,82.0,recall,Word Recall,Easy
71,60.0,47.0,75.0,92.0,345.0,63.0,attention,Attention Challenge,Easy
82,66.0,49.0,67.0,82.0,471.0,90.0,attention,Attention Challenge,Easy
84,91.0,81.0,64.0,83.0,463.0,76.0,recall,Number Recall,Easy
83,75.0,91.0,63.0,81.0,489.0,68.0,recall,Word Recall,Easy
60,77.0,67.0,62.0,89.0,392.0,67.0,recall,Number Recall,Easy
89,74.0,50.0,82.0,83.0,463.0,78.0,attention,Attention Challenge,Easy
78,79.0,57.0,75.0,65.0,688.0,75.0,attention,Attention Challenge,Easy
83,92.0,83.0,69.0,65.0,687.0,63.0,reaction,Reaction Test,Medium
85,51.0,70.0,57.0,61.0,734.0,72.0,memory,Memory Match,Easy
89,90.0,66.0,70.0,76.0,551.0,70.0,attention,Attention Challenge,Medium
87,45.0,73.0,76.0,73.0,583.0,91.0,memory,Memory Match,Easy
75,75.0,67.0,76.0,65.0,689.0,79.0,reaction,Reaction Test,Medium
86,100.0,91.0,74.0,90.0,374.0,94.0,recall,Number Recall,Medium
77,83.0,57.0,59.0,68.0,647.0,71.0,attention,Attention Challenge,Easy
87,79.0,55.0,38.0,64.0,706.0,75.0,recall,Number Recall,Easy
57,99.0,47.0,97.0,85.0,443.0,82.0,attention,Attention Challenge,Easy
72,67.0,60.0,54.0,63.0,716.0,84.0,recall,Number Recall,Easy
79,80.0,52.0,44.0,56.0,797.0,85.0,recall,Word Recall,Easy
85,82.0,71.0,74.0,69.0,643.0,69.0,reaction,Reaction Test,Medium
57,69.0,68.0,48.0,70.0,621.0,69.0,recall,Word Recall,Easy
78,70.0,52.0,61.0,87.0,416.0,74.0,attention,Attention Challenge,Easy
86,68.0,77.0,80.0,66.0,678.0,93.0,reaction,Reaction Test,Medium
76,76.0,91.0,97.0,86.0,427.0,68.0,memory,Memory Match,Medium
77,82.0,73.0,77.0,72.0,594.0,73.0,reaction,Reaction Test,Medium
56,76.0,30.0,66.0,71.0,607.0,85.0,attention,Attention Challenge,Easy
81,84.0,98.0,71.0,100.0,250.0,85.0,recall,Word Recall,Medium
56,51.0,79.0,47.0,72.0,599.0,84.0,recall,Number Recall,Easy
80,72.0,97.0,66.0,51.0,865.0,79.0,reaction,Reaction Test,Easy
71,63.0,84.0,66.0,96.0,299.0,67.0,memory,Memory Match,Easy
87,79.0,87.0,74.0,76.0,544.0,71.0,recall,Word Recall,Medium
63,78.0,71.0,99.0,95.0,316.0,89.0,attention,Attention Challenge,Medium
83,74.0,64.0,45.0,85.0,443.0,86.0,recall,Word Recall,Easy
80,81.0,74.0,66.0,95.0,318.0,65.0,recall,Number Recall,Medium
89,87.0,57.0,46.0,74.0,569.0,87.0,recall,Word Recall,Easy
79,74.0,75.0,65.0,68.0,645.0,91.0,recall,Number Recall,Medium
78,62.0,29.0,60.0,72.0,599.0,79.0,attention,Attention Challenge,Easy
67,56.0,69.0,51.0,85.0,438.0,82.0,recall,Number Recall,Easy
61,75.0,88.0,85.0,82.0,477.0,88.0,memory,Memory Match,Medium
90,78.0,69.0,76.0,73.0,583.0,71.0,attention,Attention Challenge,Medium
74,63.0,94.0,83.0,85.0,442.0,100.0,memory,Memory Match,Easy
55,84.0,64.0,65.0,89.0,391.0,90.0,attention,Attention Challenge,Easy
62,69.0,83.0,71.0,78.0,521.0,83.0,memory,Memory Match,Medium
70,55.0,55.0,94.0,85.0,437.0,78.0,memory,Memory Match,Easy
68,90.0,82.0,72.0,72.0,599.0,83.0,recall,Word Recall,Medium
66,89.0,71.0,83.0,64.0,706.0,62.0,reaction,Reaction Test,Easy
77,51.0,65.0,63.0,51.0,862.0,99.0,memory,Memory Match,Easy
69,68.0,29.0,82.0,73.0,591.0,89.0,attention,Attention Challenge,Easy
82,68.0,64.0,64.0,70.0,628.0,93.0,attention,Attention Challenge,Easy
88,95.0,71.0,45.0,82.0,478.0,78.0,recall,Number Recall,Easy
56,74.0,80.0,72.0,81.0,486.0,74.0,recall,Word Recall,Medium
86,57.0,91.0,65.0,64.0,704.0,71.0,memory,Memory Match,Easy
77,86.0,99.0,49.0,79.0,517.0,86.0,recall,Word Recall,Easy
76,60.0,87.0,75.0,75.0,559.0,73.0,memory,Memory Match,Easy
79,72.0,60.0,59.0,64.0,697.0,76.0,recall,Word Recall,Easy
76,66.0,63.0,100.0,79.0,518.0,83.0,attention,Attention Challenge,Easy
76,68.0,79.0,51.0,62.0,730.0,71.0,recall,Word Recall,Easy
60,86.0,76.0,55.0,70.0,619.0,88.0,recall,Number Recall,Easy
69,93.0,92.0,84.0,72.0,605.0,78.0,reaction,Reaction Test,Medium
87,60.0,100.0,70.0,82.0,472.0,63.0,memory,Memory Match,Easy
62,83.0,100.0,84.0,71.0,611.0,71.0,reaction,Reaction Test,Medium
59,66.0,90.0,77.0,80.0,499.0,91.0,memory,Memory Match,Medium
58,67.0,76.0,64.0,72.0,606.0,69.0,recall,Word Recall,Easy
60,81.0,88.0,53.0,77.0,538.0,87.0,recall,Number Recall,Easy
86,63.0,93.0,87.0,67.0,666.0,79.0,memory,Memory Match,Easy
84,81.0,66.0,54.0,76.0,546.0,76.0,recall,Number Recall,Easy
89,84.0,60.0,80.0,56.0,795.0,100.0,reaction,Reaction Test,Easy
70,70.0,56.0,85.0,79.0,517.0,65.0,attention,Attention Challenge,Easy
67,91.0,55.0,70.0,81.0,486.0,71.0,attention,Attention Challenge,Easy
84,60.0,47.0,68.0,73.0,592.0,78.0,attention,Attention Challenge,Easy
73,91.0,72.0,58.0,66.0,679.0,100.0,recall,Word Recall,Easy
71,52.0,53.0,78.0,66.0,678.0,78.0,memory,Memory Match,Easy
73,100.0,56.0,30.0,74.0,570.0,81.0,recall,Word Recall,Easy
82,70.0,79.0,82.0,73.0,591.0,75.0,memory,Memory Match,Medium
80,61.0,71.0,74.0,73.0,591.0,82.0,memory,Memory Match,Easy
80,72.0,74.0,69.0,86.0,421.0,75.0,recall,Number Recall,Medium
77,62.0,88.0,75.0,66.0,673.0,85.0,memory,Memory Match,Easy
63,80.0,81.0,53.0,88.0,399.0,86.0,recall,Number Recall,Easy
66,91.0,91.0,38.0,86.0,421.0,76.0,recall,Word Recall,Easy
55,63.0,69.0,79.0,75.0,557.0,67.0,memory,Memory Match,Easy
55,82.0,92.0,90.0,79.0,512.0,79.0,reaction,Reaction Test,Medium
88,57.0,73.0,48.0,68.0,646.0,92.0,recall,Number Recall,Easy
86,87.0,71.0,57.0,72.0,604.0,70.0,recall,Word Recall,Easy
79,80.0,90.0,83.0,75.0,567.0,81.0,reaction,Reaction Test,Medium
55,88.0,55.0,77.0,87.0,415.0,66.0,attention,Attention Challenge,Easy
70,74.0,98.0,100.0,76.0,553.0,68.0,memory,Memory Match,Medium
59,70.0,64.0,87.0,76.0,544.0,91.0,attention,Attention Challenge,Easy
76,85.0,50.0,84.0,74.0,577.0,85.0,attention,Attention Challenge,Easy
